Player,Tm,FG%
Naji Marshall,NOP,0.433
Caleb Martin,MIA,0.464
Cody Martin,CHO,0.389
KJ Martin,HOU,0.569
Tyrese Martin,ATL,0.391
Garrison Mathews,TOT,0.363
Garrison Mathews,HOU,0.353
Garrison Mathews,ATL,0.419
Bennedict Mathurin,IND,0.434
Wesley Matthews,MIL,0.363
Tyrese Maxey,PHI,0.481
Skylar Mays,POR,0.5
Miles McBride,NYK,0.358
Mac McClung,PHI,0.45
CJ McCollum,NOP,0.437
T.J. McConnell,IND,0.543
Jaden McDaniels,MIN,0.517
Jalen McDaniels,TOT,0.455
Jalen McDaniels,CHO,0.447
Jalen McDaniels,PHI,0.488
Doug McDermott,SAS,0.457
JaVale McGee,DAL,0.64
Bryce McGowens,CHO,0.396
Rodney McGruder,DET,0.408
Jordan McLaughlin,MIN,0.421
De'Anthony Melton,PHI,0.425
Sam Merrill,CLE,0.409
Chimezie Metu,SAC,0.589
Khris Middleton,MIL,0.436
Patty Mills,BRK,0.411
Shake Milton,PHI,0.479
Justin Minaya,POR,0.304
Josh Minott,MIN,0.5
Davion Mitchell,SAC,0.454
Donovan Mitchell,CLE,0.484
Evan Mobley,CLE,0.554
Isaiah Mobley,CLE,0.429
Chima Moneke,SAC,0.5
Malik Monk,SAC,0.448
Moses Moody,GSW,0.476
Xavier Moon,LAC,0.333
Wendell Moore Jr.,MIN,0.419
Ja Morant,MEM,0.466
Marcus Morris,LAC,0.426
Markieff Morris,TOT,0.409
Markieff Morris,BRK,0.402
Markieff Morris,DAL,0.424
Monte Morris,WAS,0.48
Trey Murphy III,NOP,0.484
Dejounte Murray,ATL,0.464
Jamal Murray,DEN,0.454
Keegan Murray,SAC,0.453
Mike Muscala,TOT,0.449
Mike Muscala,OKC,0.438
Mike Muscala,BOS,0.472
Svi Mykhailiuk,TOT,0.445
Svi Mykhailiuk,NYK,0.5
Svi Mykhailiuk,CHO,0.441
Larry Nance Jr.,NOP,0.61
Andrew Nembhard,IND,0.441
Aaron Nesmith,IND,0.427
Raul Neto,CLE,0.518
Georges Niang,PHI,0.442
Daishen Nix,HOU,0.342
Zeke Nnaji,DEN,0.561
Nerlens Noel,TOT,0.361
Nerlens Noel,DET,0.4
Nerlens Noel,BRK,0.167
Jaylen Nowell,MIN,0.448
Frank Ntilikina,DAL,0.364
Kendrick Nunn,TOT,0.424
Kendrick Nunn,LAL,0.406
Kendrick Nunn,WAS,0.447
Jusuf Nurkić,POR,0.519
Jordan Nwora,TOT,0.436
Jordan Nwora,MIL,0.386
Jordan Nwora,IND,0.476
Royce O'Neale,BRK,0.386
Chuma Okeke,ORL,0.352
Josh Okogie,PHO,0.391
Onyeka Okongwu,ATL,0.638
Isaac Okoro,CLE,0.494
KZ Okpala,SAC,0.421
Victor Oladipo,MIA,0.397
Kelly Olynyk,UTA,0.499
Eugene Omoruyi,TOT,0.443
Eugene Omoruyi,OKC,0.468
Eugene Omoruyi,DET,0.425
Cedi Osman,CLE,0.451
Kelly Oubre Jr.,CHO,0.431
Chris Paul,PHO,0.44
Cameron Payne,PHO,0.415
Gary Payton II,TOT,0.594
Gary Payton II,POR,0.585
Gary Payton II,GSW,0.607
Theo Pinson,DAL,0.356
Scotty Pippen Jr.,LAL,0.333
Mason Plumlee,TOT,0.68
Mason Plumlee,CHO,0.669
Mason Plumlee,LAC,0.727
Jakob Poeltl,TOT,0.629
Jakob Poeltl,SAS,0.616
Jakob Poeltl,TOR,0.652
Aleksej Pokusevski,OKC,0.434
Jordan Poole,GSW,0.43
Kevin Porter Jr.,HOU,0.442
Michael Porter Jr.,DEN,0.487
Otto Porter Jr.,TOR,0.5
Bobby Portis,MIL,0.496
Kristaps Porziņģis,WAS,0.498
Micah Potter,UTA,0.667
Dwight Powell,DAL,0.732
Norman Powell,LAC,0.479
Jason Preston,LAC,0.439
Joshua Primo,SAS,0.346
Taurean Prince,MIN,0.467
Payton Pritchard,BOS,0.412
Trevelin Queen,IND,0.241
Neemias Queta,SAC,0.667
Immanuel Quickley,NYK,0.448
Lester Quinones,GSW,0.4
Julius Randle,NYK,0.459
Austin Reaves,LAL,0.529
Cam Reddish,TOT,0.446
Cam Reddish,NYK,0.449
Cam Reddish,POR,0.443
Davon Reed,TOT,0.333
Davon Reed,DEN,0.313
Davon Reed,LAL,0.75
Paul Reed,PHI,0.593
Naz Reid,MIN,0.537
Jared Rhoden,DET,0.386
Nick Richards,CHO,0.629
Josh Richardson,TOT,0.431
Josh Richardson,SAS,0.436
Josh Richardson,NOP,0.419
Austin Rivers,MIN,0.435
Duncan Robinson,MIA,0.371
Mitchell Robinson,NYK,0.671
Orlando Robinson,MIA,0.528
Jeremiah Robinson-Earl,OKC,0.444
Isaiah Roby,SAS,0.432
David Roddy,MEM,0.429
Ryan Rollins,GSW,0.35
Derrick Rose,NYK,0.384
Terrence Ross,TOT,0.43
Terrence Ross,ORL,0.431
Terrence Ross,PHO,0.428
Terry Rozier,CHO,0.415
Ricky Rubio,CLE,0.343
D'Angelo Russell,TOT,0.469
D'Angelo Russell,MIN,0.465
D'Angelo Russell,LAL,0.484
Matt Ryan,TOT,0.37
Matt Ryan,LAL,0.306
Matt Ryan,MIN,0.424
Domantas Sabonis,SAC,0.615
Luka Šamanić,UTA,0.456
Dario Šarić,TOT,0.458
Dario Šarić,PHO,0.427
Dario Šarić,OKC,0.515
Olivier Sarr,OKC,0.5
Jordan Schakel,WAS,0.5
Admiral Schofield,ORL,0.451
Dennis Schröder,LAL,0.415
Jay Scrubb,ORL,0.714
Dereon Seabron,NOP,0.4
Alperen Şengün,HOU,0.553
Collin Sexton,UTA,0.506
Landry Shamet,PHO,0.377
Day'Ron Sharpe,BRK,0.544
Shaedon Sharpe,POR,0.472
Pascal Siakam,TOR,0.48
Chris Silva,DAL,1
Ben Simmons,BRK,0.566
Kobi Simmons,CHO,0.167
Marko Simonovic,CHI,0.286
Anfernee Simons,POR,0.447
Jericho Sims,NYK,0.776
Marcus Smart,BOS,0.415
Dennis Smith Jr.,CHO,0.412
Dru Smith,TOT,0.4
Dru Smith,MIA,0.357
Dru Smith,BRK,0.419
Ish Smith,DEN,0.397
Jabari Smith Jr.,HOU,0.408
Jalen Smith,IND,0.476
Xavier Sneed,CHO,0.5
Jeremy Sochan,SAS,0.453
Jaden Springer,PHI,0.486
Lamar Stevens,CLE,0.448
Isaiah Stewart,DET,0.442
Max Strus,MIA,0.41
Jalen Suggs,ORL,0.419
Edmond Sumner,BRK,0.461
Cole Swider,LAL,0.333
Jae'Sean Tate,HOU,0.48
Jayson Tatum,BOS,0.466
Terry Taylor,TOT,0.52
Terry Taylor,IND,0.462
Terry Taylor,CHI,0.9
Garrett Temple,NOP,0.4
Dalen Terry,CHI,0.444
Daniel Theis,IND,0.477
Cam Thomas,BRK,0.441
Klay Thompson,GSW,0.436
JT Thor,CHO,0.399
Matisse Thybulle,TOT,0.435
Matisse Thybulle,PHI,0.431
Matisse Thybulle,POR,0.438
Xavier Tillman Sr.,MEM,0.614
Isaiah Todd,WAS,0.158
Obi Toppin,NYK,0.446
Juan Toscano-Anderson,TOT,0.448
Juan Toscano-Anderson,LAL,0.5
Juan Toscano-Anderson,UTA,0.403
Karl-Anthony Towns,MIN,0.495
Gary Trent Jr.,TOR,0.433
P.J. Tucker,PHI,0.427
Myles Turner,IND,0.548
Stanley Umude,DET,0
Jonas Valančiūnas,NOP,0.547
Jarred Vanderbilt,TOT,0.548
Jarred Vanderbilt,UTA,0.556
Jarred Vanderbilt,LAL,0.529
Fred VanVleet,TOR,0.393
Devin Vassell,SAS,0.439
Gabe Vincent,MIA,0.402
Noah Vonleh,BOS,0.458
Nikola Vučević,CHI,0.52
Dean Wade,CLE,0.412
Franz Wagner,ORL,0.485
Moritz Wagner,ORL,0.5
Ish Wainright,PHO,0.37
Jabari Walker,POR,0.419
Kemba Walker,DAL,0.421
Lonnie Walker IV,LAL,0.448
John Wall,LAC,0.408
T.J. Warren,TOT,0.489
T.J. Warren,BRK,0.51
T.J. Warren,PHO,0.429
Duane Washington Jr.,PHO,0.367
P.J. Washington,CHO,0.444
TyTy Washington Jr.,HOU,0.363
Yuta Watanabe,BRK,0.491
Lindy Waters III,OKC,0.393
Trendon Watford,POR,0.56
Peyton Watson,DEN,0.492
Blake Wesley,SAS,0.321
Russell Westbrook,TOT,0.436
Russell Westbrook,LAL,0.417
Russell Westbrook,LAC,0.489
Coby White,CHI,0.443
Derrick White,BOS,0.462
Jack White,DEN,0.421
Joe Wieskamp,TOR,0.214
Aaron Wiggins,OKC,0.512
Andrew Wiggins,GSW,0.473
Lindell Wigginton,MIL,0.486
Alondes Williams,BRK,
Donovan Williams,ATL,0.4
Grant Williams,BOS,0.454
Jalen Williams,OKC,0.521
Jaylin Williams,OKC,0.436
Jeenathan Williams,POR,0.615
Kenrich Williams,OKC,0.517
Mark Williams,CHO,0.637
Patrick Williams,CHI,0.464
Robert Williams,BOS,0.747
Vince Williams Jr.,MEM,0.3
Ziaire Williams,MEM,0.429
Zion Williamson,NOP,0.608
Dylan Windler,CLE,0.667
Justise Winslow,POR,0.409
James Wiseman,TOT,0.558
James Wiseman,GSW,0.628
James Wiseman,DET,0.531
Christian Wood,DAL,0.515
Delon Wright,WAS,0.474
McKinley Wright IV,DAL,0.469
Gabe York,IND,0.381
Thaddeus Young,TOR,0.545
Trae Young,ATL,0.429
Omer Yurtseven,MIA,0.593
Cody Zeller,MIA,0.627
Ivica Zubac,LAC,0.634
